,Names,Rating,Number_of_review,Street,Locations,price_range,Number_of_photos,kind,Amenities
113,Amstel Fifty Four,4,4,1017 AB Amsterdam,Centrum,€€ ,28,Pubs,"['Accepts Debit Cards', 'Casual Dress', 'Good for Groups']"
114,De Sluyswacht,4,24,1011 NG Amsterdam,Centrum,€ ,25,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
115,Café de Wetering,4.5,16,1017 SM Amsterdam,Centrum,€ ,10,Unclaimed,"['Outdoor Seating', 'Casual', 'Moderate Noise']"
116,People's Place,4,3,1054 ES Amsterdam,West,€€€ ,10,Unclaimed,"['Takes Reservations', 'Good for Groups']"
117,Old Sailor,3.5,21,1012 DA Amsterdam,"De Wallen, Centrum",€ ,18,Unclaimed,"['Outdoor Seating', 'Very Loud', 'Good for Groups']"
118,A Bar,4.5,3,1018 GX Amsterdam,"Plantagebuurt, Centrum",€€€ ,11,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Good for Groups']"
119,[],4.5,[],[],[],[],[],[],"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Moderate Noise']"
120,Café Pollux,4.5,12,1011 AM Amsterdam,Centrum,€€ ,9,Pubs,"['Outdoor Seating', 'Good for Groups', 'Free Wi-Fi']"
121,Wonder Bar,3.5,21,1012 LZ Amsterdam,Centrum,€€ ,35,Unclaimed,"['Casual', 'Moderate Noise', 'Good for Groups']"
122,Café de Laurierboom,4,6,1016 PN Amsterdam,"Jordaan, Centrum",€ ,6,Unclaimed,"['Outdoor Seating', 'Quiet', 'Good for Groups']"
123,Duke of Tokyo,[],"Bars,",1017 BK Amsterdam,Centrum,Unclaimed ,9,Unclaimed,[]
124,Ping Pong Parck,4,28,1054 JV Amsterdam,"Oud West, West",€€ ,45,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
125,Club 8,4,7,1056 GL Amsterdam,"De Baarsjes, West",€€ ,6,Unclaimed,"['Accepts Debit Cards', 'Very Loud', 'Good for Groups', 'Full Bar']"
126,Café The Doors,4.5,9,1013 GA Amsterdam,"Haarlemmerbuurt, Centrum",€€ ,5,Unclaimed,"['Outdoor Seating', 'Classy', 'Loud', 'Good for Groups']"
127,Café P96,4.5,19,1015 DZ Amsterdam,"Jordaan, Centrum",€€ ,21,Unclaimed,"['Outdoor Seating', 'Casual', 'Good for Groups']"
128,Café de Eland,3.5,9,1016 HW Amsterdam,"Jordaan, Centrum",€€ ,24,Pubs,['Outdoor Seating']
129,Louie Louie,4,30,1093 EC Amsterdam,"Dapperbuurt, Oost",€€ ,64,Pubs,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
130,Checkpoint Charlie,4.5,4,1052 CM Amsterdam,"Staatsliedenbuurt, West",€€ ,9,Unclaimed,"['Outdoor Seating', 'Casual', 'Loud']"
131,Café Chris,5,18,1016 LC Amsterdam,"Jordaan, Centrum",€€ ,18,Pubs,"['Outdoor Seating', 'Moderate Noise', 'Good for Groups']"
132,A'DAM Lookout,4,84,1031 KS Amsterdam,Noord,€€ ,395,Lounges,"['Takes Reservations', 'Accepts Debit Cards', 'Touristy', 'Moderate Noise']"
133,Bar Benjamin,2.5,2,1053 XR Amsterdam,"Da Costabuurt, West",€€ ,5,Bars,"['Takes Reservations', 'Outdoor Seating', 'Good for Groups', 'TV']"
134,Cuckoo's Nest,4,5,1012 PV Amsterdam,Centrum,€€ ,photo,Unclaimed,"['Good for Groups', 'TV']"
135,Satchmo,5,12,1012 KM Amsterdam,"De Wallen, Centrum",[],43,Steakhouses,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Accepts Debit Cards']"
136,Het Elfde Gebod,5,28,1012 AN Amsterdam,"Centrum, De Wallen",€€ ,25,Unclaimed,"['Takes Reservations', 'Casual', 'Moderate Noise', 'Full Bar']"
137,Klein Tirol,4,1,1017 RE Amsterdam,Centrum,[],14,Austrian,"['Takes Reservations', 'Offers Delivery', 'Offers Takeout', 'Accepts Debit Cards']"
138,Donnies,5,8,1016 NJ Amsterdam,"Jordaan, Centrum",€ ,31,Pubs,"['Outdoor Seating', 'Good for Groups', 'Street Parking']"
139,Louis,4.5,20,1012 VC Amsterdam,Centrum,€€ ,47,Unclaimed,['Accepts Debit Cards']
140,The Lion's Head,5,4,1073 LN Amsterdam,"De Pijp, Zuid",[],12,Brewpubs,"['Accepts Debit Cards', 'Dogs Allowed', 'Wheelchair Accessible']"
141,Checkpoint Charlie,4.5,4,1052 CM Amsterdam,"Staatsliedenbuurt, West",€€ ,9,Unclaimed,"['Outdoor Seating', 'Casual', 'Loud']"
142,Café de Dam,4,23,1012 JM Amsterdam,"De Wallen, Centrum",€€ ,42,Pubs,"['Outdoor Seating', 'Touristy', 'Moderate Noise']"
143,Karakter,5,1,1053 AE Amsterdam,"Da Costabuurt, Oud West, West",€€ ,4,Unclaimed,"['Outdoor Seating', 'Good for Groups', 'TV']"
144,Spijker Bar,4,3,1017 GL Amsterdam,Centrum,[],photo,Gay Bars,"['Pool Table', 'Free Wi-Fi', 'TV']"
145,Café LUX,4.5,6,1017 PJ Amsterdam,Centrum,€€ ,6,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Casual', 'Moderate Noise']"
146,Tunes Bar,5,4,1071 AN Amsterdam,"Museumkwartier, Zuid",€€€ ,8,Unclaimed,"['Takes Reservations', 'Good for Groups']"
147,Café Mulder,3.5,9,1017 XD Amsterdam,Centrum,€ ,15,Unclaimed,"['Outdoor Seating', 'Moderate Noise', 'Good for Groups']"
148,Cafe The Mill,5,1,1012 BG Amsterdam,"De Wallen, Centrum",Unclaimed ,photo,Unclaimed,[]
149,Café Pollux,4.5,12,1011 AM Amsterdam,Centrum,€€ ,9,Pubs,"['Outdoor Seating', 'Good for Groups', 'Free Wi-Fi']"
150,Amstel Fifty Four,4,4,1017 AB Amsterdam,Centrum,€€ ,28,Pubs,"['Accepts Debit Cards', 'Casual Dress', 'Good for Groups']"
151,Café Kale,4.5,32,1017 XJ Amsterdam,Centrum,€€ ,50,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards']"
152,Martins Social Club,4,1,1017 CT Amsterdam,Centrum,Unclaimed ,5,Unclaimed,"['Takes Reservations', 'Full Bar']"
153,Poollokaal De Gracht,3.5,8,1018 WT Amsterdam,"Plantagebuurt, Centrum",€€ ,7,Unclaimed,"['Moderate Noise', 'Good for Groups', 'Full Bar', 'TV']"
154,Ping Pong Parck,4,28,1054 JV Amsterdam,"Oud West, West",€€ ,45,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
155,Le Patron,3.5,9,1017 HP Amsterdam,Centrum,€ ,12,Unclaimed,"['Outdoor Seating', 'Good for Groups', 'Full Bar']"
156,Regular & Jack,4,12,1017 HD Amsterdam,Centrum,€€ ,18,Unclaimed,"['Accepts Debit Cards', 'Classy', 'Moderate Noise']"
157,[],4.5,[],[],[],[],[],[],"['Accepts Debit Cards', 'Outdoor Seating', 'Good for Groups']"
158,De Kroon,3.5,25,1017 CT Amsterdam,Centrum,€€ ,20,Unclaimed,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
159,Ranked eSports,5,1,1011 LZ Amsterdam,Centrum,[],14,Sports Bars,[]
160,TonTon Club - West,4,6,1014 DA Amsterdam,West,€€ ,38,Sports Bars,"['Takes Reservations', 'Accepts Debit Cards', 'Outdoor Seating', 'Casual']"
161,Café Krom,3.5,11,1017 VR Amsterdam,Centrum,€€ ,20,Unclaimed,"['Accepts Debit Cards', 'Outdoor Seating', 'Good for Groups']"
